,bin_trial,split_by,type,samp,Unnamed: 0,subj_idx,response,rt,trial,feedback,upper_hpd,lower_hpd,up_err,low_err,model
38,9,1,observed,0.0,25067.88888888889,23.0,0.5555555555555556,0.6125111111111111,10.0,0.4222222222222222,0.5555555555555556,0.5555555555555556,0.0,0.0,RLDDM_single_learning
39,9,1,simulated,5.5,72009.0,23.0,0.5866666666666667,0.5607445186338211,10.0,0.5599999999999999,0.6666666666666666,0.4444444444444444,0.07999999999999996,0.14222222222222225,RLDDM_single_learning
40,10,0,observed,0.0,25068.88888888889,23.0,0.5111111111111111,0.750511111111111,11.0,0.4222222222222222,0.5111111111111111,0.5111111111111111,0.0,0.0,RLDDM_single_learning
41,10,0,simulated,5.5,71850.0,23.0,0.5955555555555556,0.4993446465132404,11.0,0.5155555555555555,0.7111111111111111,0.4888888888888889,0.11555555555555552,0.10666666666666674,RLDDM_single_learning
42,10,1,observed,0.0,25069.88888888889,23.0,0.5555555555555556,0.6488222222222222,11.0,0.5111111111111111,0.5555555555555556,0.5555555555555556,0.0,0.0,RLDDM_single_learning
43,10,1,simulated,5.5,72010.0,23.0,0.5933333333333334,0.5772222964116311,11.0,0.5466666666666666,0.7111111111111111,0.4444444444444444,0.11777777777777776,0.14888888888888896,RLDDM_single_learning
44,11,0,observed,0.0,25070.88888888889,23.0,0.4444444444444444,0.7472444444444444,12.0,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.0,0.0,RLDDM_single_learning
45,11,0,simulated,5.5,71851.0,23.0,0.6511111111111111,0.5394024242912543,12.0,0.5711111111111111,0.7555555555555555,0.4888888888888889,0.10444444444444445,0.1622222222222222,RLDDM_single_learning
46,11,1,observed,0.0,25071.88888888889,23.0,0.5111111111111111,0.6192222222222222,12.0,0.37777777777777777,0.5111111111111111,0.5111111111111111,0.0,0.0,RLDDM_single_learning
47,11,1,simulated,5.5,72011.0,23.0,0.5888888888888889,0.551215629744938,12.0,0.4955555555555556,0.6888888888888889,0.4666666666666667,0.09999999999999998,0.12222222222222223,RLDDM_single_learning
48,12,0,observed,0.0,25072.88888888889,23.0,0.4888888888888889,0.6085777777777778,13.0,0.4222222222222222,0.4888888888888889,0.4888888888888889,0.0,0.0,RLDDM_single_learning
49,12,0,simulated,5.5,71852.0,23.0,0.6266666666666667,0.5125579798467028,13.0,0.5711111111111111,0.7333333333333333,0.4666666666666667,0.10666666666666658,0.16000000000000003,RLDDM_single_learning
50,12,1,observed,0.0,25073.88888888889,23.0,0.4666666666666667,0.5888,13.0,0.5555555555555556,0.4666666666666667,0.4666666666666667,0.0,0.0,RLDDM_single_learning
51,12,1,simulated,5.5,72012.0,23.0,0.6288888888888888,0.5769067408562181,13.0,0.5311111111111111,0.7111111111111111,0.5555555555555556,0.08222222222222231,0.07333333333333325,RLDDM_single_learning
52,13,0,observed,0.0,25074.88888888889,23.0,0.5333333333333333,0.7630888888888888,14.0,0.4222222222222222,0.5333333333333333,0.5333333333333333,0.0,0.0,RLDDM_single_learning
53,13,0,simulated,5.5,71853.0,23.0,0.6,0.5363202020688262,14.0,0.5377777777777778,0.6888888888888889,0.5111111111111111,0.0888888888888889,0.0888888888888889,RLDDM_single_learning
54,13,1,observed,0.0,25075.88888888889,23.0,0.3111111111111111,0.6531777777777777,14.0,0.5333333333333333,0.3111111111111111,0.3111111111111111,0.0,0.0,RLDDM_single_learning
55,13,1,simulated,5.5,72013.0,23.0,0.6355555555555555,0.5368889630784535,14.0,0.5333333333333333,0.7333333333333333,0.5111111111111111,0.09777777777777774,0.12444444444444447,RLDDM_single_learning
56,14,0,observed,0.0,25076.88888888889,23.0,0.5333333333333333,0.7045333333333333,15.0,0.5555555555555556,0.5333333333333333,0.5333333333333333,0.0,0.0,RLDDM_single_learning
57,14,0,simulated,5.5,71854.0,23.0,0.6977777777777778,0.5078602020692085,15.0,0.6155555555555555,0.8666666666666667,0.5777777777777777,0.16888888888888887,0.1200000000000001,RLDDM_single_learning
58,14,1,observed,0.0,25077.88888888889,23.0,0.37777777777777777,0.5455777777777778,15.0,0.4666666666666667,0.37777777777777777,0.37777777777777777,0.0,0.0,RLDDM_single_learning
59,14,1,simulated,5.5,72014.0,23.0,0.6466666666666667,0.5474711853007239,15.0,0.5977777777777777,0.7555555555555555,0.5555555555555556,0.10888888888888881,0.09111111111111114,RLDDM_single_learning
60,15,0,observed,0.0,25078.88888888889,23.0,0.4888888888888889,0.6878444444444445,16.0,0.3333333333333333,0.4888888888888889,0.4888888888888889,0.0,0.0,RLDDM_single_learning
61,15,0,simulated,5.5,71855.0,23.0,0.6133333333333333,0.4961513131799773,16.0,0.5577777777777777,0.7777777777777778,0.5111111111111111,0.1644444444444445,0.10222222222222221,RLDDM_single_learning
